domain	paper_count	secondary_paper_count	evidence
Expert Systems with Applications	18		complete observations
Engineering Applications of Artificial Intelligence	17		complete observations
Journal of Process Control	14		complete observations
Energy	12		complete observations
Advanced Engineering Informatics	9		complete observations
Applied Energy	9		complete observations
Chemical Engineering Science	8		complete observations
Control Engineering Practice	5		complete observations
Computers & Chemical Engineering	4		complete observations
ISA Transactions	2		complete observations
