domain	paper_count	secondary_paper_count	evidence
T-Industrial Informatics	74		complete observations
T-Instrumentation and Measurement	31		complete observations
T-Neural Networks and Learning Systems	25		complete observations
Sensors Journal	17		complete observations
T-Automation Science and Engineering	14		complete observations
T-Cybernetics	14		complete observations
T-Fuzzy Systems	13		complete observations
T-Systems, Man, and Cybernetics: Systems	9		complete observations
T-Knowledge and Data Engineering	8		complete observations
T-Evolutionary Computation	7		complete observations
T-Pattern Analysis and Machine Intelligence	7		complete observations
IEEE/CAA Journal of Automatica Sinica	7		complete observations
T-Industrial Electronics	5		complete observations
Internet of Things Journal	4		complete observations
Access	2		complete observations
T-Geoscience and Remote Sensing	2		complete observations
T-Power Systems	2		complete observations
(no venue)	1		complete observations
2015 7th International Conference on Cybernetics and Intelligent Systems (CIS) and Conference on Robotics, Automation and Mechatronics (RAM)	1		complete observations
2016 International Conference on Information Technology Systems and Innovation (ICITSI)	1		complete observations
2017 Eighteenth International Vacuum Electronics Conference (IVEC)	1		complete observations
2022 27th International Conference on Automation and Computing (ICAC)	1		complete observations
2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)	1		complete observations
2023 5th International Conference on Industrial Artificial Intelligence (IAI)	1		complete observations
2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)	1		complete observations
2024 International Conference on Multimedia Analysis and Pattern Recognition (MAPR)	1		complete observations
ICASSP 2023 - 2023 International Conference on Acoustics, Speech and Signal Processing (ICASSP)	1		complete observations
ICASSP 2026 - 2026 International Conference on Acoustics, Speech and Signal Processing (ICASSP)	1		complete observations
Robotics and Automation Letters	1		complete observations
T-Artificial Intelligence	1		complete observations
T-Automatic Control	1		complete observations
T-Circuits and Systems II: Express Briefs	1		complete observations
T-Circuits and Systems for Video Technology	1		complete observations
T-Sustainable Energy	1		complete observations
T-Vehicular Technology	1		complete observations
Proceedings of the Conference on Computer Vision and Pattern Recognition	1		complete observations
Tsinghua Science and Technology	1		complete observations
